mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0018328030904134114,0.00019378697048199147,0.0022912025451660156,0.0003696086281365263,0.001,l1,liblinear,"{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",0.3271099096054743,0.3271099096054743,0.32501278384879073,0.3264108676865798,0.0009885945623679538,18
0.0009886423746744792,0.0005475482328081863,0.0,0.0,0.001,l1,lbfgs,"{'C': 0.001, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
0.0026504198710123696,0.0009836012411336358,0.0021136601765950522,6.781945827848268e-05,0.001,l2,liblinear,"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear'}",0.8314512153537821,0.8563708629519223,0.7852129863869383,0.8243450215642142,0.02948145566216778,16
0.004917701085408528,0.0009214067862147084,0.0024074713389078775,0.0001627459417179947,0.001,l2,lbfgs,"{'C': 0.001, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8464204061399367,0.8528915030324351,0.7889003359462486,0.8294040817062068,0.02876205647710798,15
0.0025428136189778647,0.00043844488848523256,0.0021604696909586587,0.0001342128374599827,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.778690773155946,0.8275847051650553,0.7778278413105312,0.7947011065438442,0.023254884168752564,17
0.0005065600077311198,2.7648561060406095e-05,0.0,0.0,0.01,l1,lbfgs,"{'C': 0.01, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
0.0023185412089029946,0.0001377325419842769,0.0026934146881103516,0.0009133215705871779,0.01,l2,liblinear,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.8612128577418644,0.8716680425930848,0.8343615794712522,0.8557474932687338,0.015712960770932226,1
0.005575736363728841,0.0013048352144764137,0.002423365910847982,0.00011478021665079139,0.01,l2,lbfgs,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8576579315146592,0.8495451630645542,0.8382429366660372,0.8484820104150835,0.00796170946510282,4
0.0035567283630371094,0.0002045771268733299,0.002678076426188151,0.0005744722695814885,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8649220813690424,0.8604355285179512,0.8307193523249227,0.8520256540706388,0.015176762054339014,2
0.0009731451670328776,0.00011123060737141437,0.0,0.0,0.1,l1,lbfgs,"{'C': 0.1, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
0.003603219985961914,0.0006516107567721332,0.0031676292419433594,0.000531158211883446,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8650018187697034,0.8422981910909236,0.8420784710645391,0.8497928269750554,0.010754755313495862,3
0.00583346684773763,6.309174095418808e-05,0.002834479014078776,0.00015579717203863833,0.1,l2,lbfgs,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8575699738320022,0.8386024509437473,0.838334437272296,0.8448356206826818,0.009005212210371108,9
0.008212884267171225,0.0024366445218837788,0.0032869974772135415,0.00043496341948019094,1.0,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8612869587066933,0.8387068346729776,0.8420784710645391,0.8473574214814034,0.00994538380262518,5
0.0007949670155843099,0.00013576779196537408,0.0,0.0,1.0,l1,lbfgs,"{'C': 1, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
0.0033931732177734375,0.00036912806977304355,0.0026636123657226562,4.1254452563392064e-05,1.0,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8575699738320022,0.8387068346729776,0.8421052631578947,0.8461273572209581,0.008209240128143391,6
0.006544192632039388,0.0005880711200833295,0.002446730931599935,0.00014124932046204026,1.0,l2,lbfgs,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8575699738320022,0.8350022229407484,0.8421052631578947,0.8448924866435484,0.009421687964183339,8
0.021573543548583984,0.012082285224341965,0.0025371710459391275,6.370264051616202e-05,10.0,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.8575699738320022,0.8387068346729776,0.8421052631578947,0.8461273572209581,0.008209240128143391,6
0.0005844434102376302,3.2318007519328054e-05,0.0,0.0,10.0,l1,lbfgs,"{'C': 10, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
0.0027910868326822915,0.00011764265174140502,0.0022769769032796225,0.00010352168992685333,10.0,l2,liblinear,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.8575699738320022,0.8312949497784107,0.8421052631578947,0.8436567289227691,0.010782686949268448,10
0.008178075154622396,0.0014532466275193757,0.0026885668436686196,0.0004470431786217857,10.0,l2,lbfgs,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8575699738320022,0.8312949497784107,0.8421052631578947,0.8436567289227691,0.010782686949268448,10
0.0025669733683268228,0.00032876935596280906,0.0018760363260904949,4.4265170055054684e-05,100.0,l1,liblinear,"{'C': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.8575699738320022,0.8312949497784107,0.8421052631578947,0.8436567289227691,0.010782686949268448,10
0.0004153251647949219,1.6185560531633657e-05,0.0,0.0,100.0,l1,lbfgs,"{'C': 100, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
0.0022246837615966797,0.00011366008237914034,0.001813650131225586,6.094475100616063e-05,100.0,l2,liblinear,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.8575699738320022,0.8312949497784107,0.8421052631578947,0.8436567289227691,0.010782686949268448,10
0.006133715311686198,0.0005401478483528044,0.0021208922068277993,1.66555851266655e-05,100.0,l2,lbfgs,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8575699738320022,0.8312949497784107,0.8421052631578947,0.8436567289227691,0.010782686949268448,10
